"","logFC","AveExpr","t","P.Value","adj.P.Val","B","GeneSymbol","threshold"
"218581_at",-586.534651162792,2259.1426744186,-3.93315959626186,0.000170398613550111,0.00525899211320931,-4.48755241014629,"ABHD4","Down"
"209439_s_at",-54.2711744186047,124.852289534884,-3.92761847013319,0.000173751892011956,0.00535506695671151,-4.48783031030031,"PHKA2","Down"
"202936_s_at",337.978395348837,1029.14201162791,3.92612181731684,0.000174668385379463,0.00537587794393726,-4.48790534460577,"SOX9","Up"
"202934_at",-877.690434883721,1782.22351976744,-3.92354497594644,0.000176257194286829,0.00541729525557712,-4.48803450765101,"HK2","Down"
"205863_at",-255.569718604651,407.434568604651,-3.91971005402919,0.000178647329138885,0.00548319343691705,-4.48822666983965,"S100A12","Down"
"203505_at",-581.050088372093,1086.10567674419,-3.91846503829437,0.000179429937427792,0.00549963864608457,-4.48828903983567,"ABCA1","Down"
"207941_s_at",706.587162790698,2496.87409302326,3.9164432735665,0.000180707797317598,0.00553006154731558,-4.48839030504298,"RBM39","Up"
"204070_at",404.945441860465,680.598255813954,3.91573612666099,0.00018115680244116,0.00553006154731558,-4.48842571942806,"PLAAT4","Up"
"203430_at",-535.381581395349,1495.63165116279,-3.91532389372002,0.000181419043271134,0.00553006154731558,-4.48844636316375,"HEBP2","Down"
"203897_at",-317.187060465116,747.603190697674,-3.91516257461838,0.000181521764799925,0.00553006154731558,-4.48845444144283,"LYRM1","Down"
"200758_s_at",-194.156744186047,490.187674418605,-3.91494032114781,0.000181663378029664,0.00553006154731558,-4.48846557088049,"NFE2L1","Down"
"202220_at",612.196162790698,1906.99308139535,3.91314122860847,0.000182813602570613,0.00555748363721825,-4.48855565203446,"KHDC4","Up"
"221478_at",-833.773627906977,1725.03248837209,-3.91112570096589,0.000184110475923463,0.00558425190110007,-4.48865655074598,"BNIP3L","Down"
"209806_at",612.172953488372,813.975290697674,3.91099425703267,0.000184195357326596,0.00558425190110007,-4.48866313020688,"H2BC12","Up"
