"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"211574_s_at",-5.33507906976742,85.8067441860465,-0.696050619927032,0.488292918006525,0.739582155737405,-4.59969729477075
"202660_at",37.4341232558141,529.848480232558,0.696016430088521,0.488314220391698,0.739582155737405,-4.5996977127451
"214895_s_at",10.49645,82.3840180232558,0.695952930633632,0.488353785834804,0.739582155737405,-4.59969848897931
"201051_at",-94.0448372093028,1975.3603255814,-0.695936766641052,0.488363857627796,0.739582155737405,-4.59969868656119
"221605_s_at",83.3403255813953,1427.945,0.695786889983371,0.488457251286675,0.739673321809105,-4.59970051837713
"213434_at",45.2649767441862,568.402162790698,0.69564399512813,0.48854630345208,0.739707855690758,-4.59970226450122
"216023_at",21.8391906976744,234.64493255814,0.695643762373213,0.488546448512359,0.739707855690758,-4.59970226734512
"220516_at",4.22294418604648,59.771823255814,0.695447402429901,0.488668834702322,0.739842889228961,-4.59970466622078
"206587_at",-47.7765116279069,830.149209302326,-0.695362215201606,0.488721934978624,0.739873012917227,-4.59970570672391
"209445_x_at",-81.807720930233,1361.6506744186,-0.695258786218629,0.488786410253008,0.739920351879605,-4.59970696986998
"215041_s_at",36.3831325581395,488.744643023256,0.695099756955978,0.488885554576215,0.740020162531201,-4.59970891168665
"205297_s_at",-70.5012325581399,1011.07745348837,-0.69502946149703,0.488929382702278,0.74003623385103,-4.59970976988647
"208880_s_at",30.1069511627907,305.300954651163,0.694853291556691,0.489039231386455,0.740152223934277,-4.59971192027863
"208635_x_at",336.791627906977,4520.63232558139,0.694754497289607,0.489100839304916,0.740195191675593,-4.59971312596293
"217065_at",-53.115953488372,718.460348837209,-0.694602624852152,0.489195554966961,0.740265705035465,-4.59971497908584
"221997_s_at",74.8536744186033,1370.06611627907,0.694504398899291,0.489256819205224,0.740265705035465,-4.59971617741208
"217994_x_at",-69.2157906976747,1318.54108139535,-0.694452504881622,0.489289187577455,0.740265705035465,-4.59971681043616
"204189_at",-54.7101860465115,627.698162790698,-0.694424799704516,0.489306468883893,0.740265705035465,-4.59971714837611
"211584_s_at",-42.4590232558145,459.38288372093,-0.694413466580158,0.489313538099329,0.740265705035465,-4.59971728661057
"209617_s_at",23.3656744186047,379.093697674419,0.694317200842643,0.489373587631414,0.740272651075766,-4.59971846071172
"210575_at",-3.50878162790697,29.4711594186046,-0.69426379513236,0.489406903280839,0.740272651075766,-4.59971911200366
"210104_at",19.7091860465116,258.590495348837,0.694246338084206,0.489417793638567,0.740272651075766,-4.59971932488478
"211891_s_at",25.5083069767444,382.450544186046,0.694104559650576,0.489506245231614,0.740356184245983,-4.59972105361736
"204792_s_at",-24.2094883720931,389.917813953488,-0.693912219632571,0.489626254779761,0.740412708801702,-4.59972339830554
"202999_s_at",-40.0262093023258,643.213151162791,-0.693878709434895,0.489647164940806,0.740412708801702,-4.59972380674091
"208463_at",-74.1363953488371,1307.34259302326,-0.693796441011826,0.489698502014657,0.740412708801702,-4.59972480937876
"220306_at",57.057465116279,1024.74577906977,0.693792037212914,0.489701250152768,0.740412708801702,-4.59972486304633
"208927_at",71.1606279069765,1276.31775581395,0.693778406290602,0.489709756420567,0.740412708801702,-4.59972502915952
"221004_s_at",35.2402093023255,357.453895348837,0.693604197455949,0.48981847717372,0.740526842178032,-4.59972715187395
"210983_s_at",16.2702395348838,128.326336046512,0.693361692663513,0.489969842270847,0.740705427090997,-4.59973010589895
"212089_at",18.8566976744187,292.056511627907,0.693131405347623,0.490113605246229,0.740853869469474,-4.59973291016417
"217311_at",-22.5134069767442,145.090905813953,-0.693071169909131,0.490151212628648,0.740853869469474,-4.59973364351562
"210370_s_at",35.287511627907,320.758151162791,0.693029763631348,0.490177065132493,0.740853869469474,-4.59973414759059
"217921_at",-31.134834883721,329.660845348837,-0.692991388915537,0.490201025510834,0.740853869469474,-4.59973461473341
"216684_s_at",-9.86933255813952,108.891489534884,-0.692861844748256,0.490281914942466,0.740925867118547,-4.59973619151274
"220477_s_at",35.0791860465117,262.6205,0.692740321782248,0.490357802449183,0.740990296485497,-4.599737670398
"208177_at",-9.82810697674427,137.045127906977,-0.692632079800219,0.490425401785563,0.741042193530053,-4.59973898744548
"215165_x_at",67.5083255813956,1145.43493023256,0.692577093113109,0.490459744051816,0.741043834872973,-4.59973965642561
"207343_at",-7.45499069767445,114.208702325581,-0.692523102278821,0.490493465632482,0.741044538252667,-4.59974031323945
